target,model,n,macro_f1,m3_only_correct,m4_only_correct,qwk,mae,within_one
T1,M3_C,720,0.6552635054814424,,,,,
T1,M4_C,720,0.7410731468360188,,,,,
T1,paired_correctness,720,,114.0,161.0,,,
T2,M3_C,474,0.7772006980802793,,,,,
T2,M4_C,474,0.6093805184714276,,,,,
T2,paired_correctness,474,,144.0,70.0,,,
T3,M3_C,460,0.7908046106079916,,,,,
T3,M4_C,460,0.5297358783975119,,,,,
T3,paired_correctness,460,,179.0,47.0,,,
T4,M3_C,474,0.6368708381188372,,,0.5965226840532464,0.3459915611814346,0.9746835443037974
T4,M4_C,474,0.3907639478630321,,,0.4013673409820607,0.679324894514768,0.8649789029535865
T4,paired_correctness,474,,186.0,80.0,,,
