target,fold,rows,prompt_clusters,class_0_n,class_1_n,class_2_n,class_3_n,min_class_n
T1,0,144,24,44,100,,,44
T1,1,144,24,47,97,,,47
T1,2,144,24,40,104,,,40
T1,3,144,24,59,85,,,59
T1,4,144,24,56,88,,,56
T2,0,100,24,57,43,,,43
T2,1,97,24,63,34,,,34
T2,2,104,24,65,39,,,39
T2,3,85,24,54,31,,,31
T2,4,88,24,57,31,,,31
T3,0,97,24,69,28,,,28
T3,1,94,24,73,21,,,21
T3,2,103,24,66,37,,,37
T3,3,82,24,62,20,,,20
T3,4,84,24,63,21,,,21
T4,0,100,24,,12,44,44,12
T4,1,97,24,,16,40,41,16
T4,2,104,24,,15,38,51,15
T4,3,85,24,,12,33,40,12
T4,4,88,24,,11,41,36,11
