target,annotator,n,prompt_clusters,coverage,strict_accuracy,strict_balanced_accuracy,strict_macro_f1,strict_qwk,strict_mae,strict_within_one,conditional_accuracy,conditional_macro_f1,conditional_qwk,conditional_mae,strict_accuracy_ci_low,strict_accuracy_ci_high,strict_macro_f1_ci_low,strict_macro_f1_ci_high,strict_qwk_ci_low,strict_qwk_ci_high
T1,A1,720,120,1.0,0.8680555555555556,0.8958783575177525,0.862793594627286,,,,0.8680555555555556,0.862793594627286,,,0.8444444444444444,0.8916666666666667,0.8381486908116601,0.8864015370143656,,
T1,A2,720,120,1.0,0.9611111111111111,0.956776782957703,0.956776782957703,,,,0.9611111111111111,0.956776782957703,,,0.9458333333333333,0.975,0.9394970820851766,0.9717571448925483,,
T1,A3,720,120,1.0,0.9277777777777778,0.9285273232479161,0.9210626185958255,,,,0.9277777777777778,0.9210626185958255,,,0.9097222222222222,0.9472222222222222,0.8994889126853713,0.9420928543029335,,
T2,A1,474,120,0.8080168776371308,0.7679324894514767,0.7481210142726997,0.8354811765407792,,,,0.9503916449086162,0.9443709723039759,,,0.7362177384076991,0.8008565310492506,0.8067294324783203,0.862640847571546,,
T2,A2,474,120,0.9704641350210971,0.9219409282700421,0.9296614029760097,0.9355229739090279,,,,0.95,0.9477724299642107,,,0.8988975796930343,0.9436348272465183,0.9138920353300894,0.9546858678591983,,
T2,A3,474,120,0.9261603375527426,0.8818565400843882,0.8818896143334346,0.9150948215964361,,,,0.9521640091116174,0.9493196998433249,,,0.853404843865257,0.9106392249571224,0.8901054350647807,0.9384460178231182,,
T3,A1,460,120,0.808695652173913,0.7913043478260869,0.758435600955286,0.8470203138538558,,,,0.978494623655914,0.9709045402995582,,,0.7584687558204507,0.8248349801260895,0.8151634442430672,0.8759559832527712,,
T3,A2,460,120,0.967391304347826,0.9217391304347826,0.9240263885933178,0.9303164276385943,,,,0.952808988764045,0.9425562911464769,,,0.8972742741449126,0.9458889083889084,0.9035703605681016,0.9545285375806876,,
T3,A3,460,120,0.8913043478260869,0.8521739130434782,0.8223972003499562,0.8766953463458675,,,,0.9560975609756097,0.9423887587822014,,,0.8163243502529217,0.8873949273247329,0.8407670415887468,0.9122276345698119,,
T4,A1,474,120,0.8080168776371308,0.6624472573839663,0.645788847271327,0.7053127937254323,0.4879129808491385,0.5274261603375527,0.8502109704641351,0.8198433420365535,0.8048135177264504,0.7690420244952278,0.195822454308094,0.6208315677966102,0.7035569005528327,0.6591937608655072,0.7507210797619388,0.41762706252392484,0.5576547370950048
T4,A2,474,120,0.9704641350210971,0.869198312236287,0.8310268647195871,0.8581517207217005,0.8543984325706506,0.13924050632911392,0.9915611814345991,0.8956521739130435,0.8850588970234644,0.8847262247838616,0.10434782608695652,0.8367693877020635,0.9,0.81637947661203,0.8946075792808719,0.8116954257010319,0.8927334165434714
T4,A3,474,120,0.9261603375527426,0.70042194092827,0.6116245240234458,0.6438513654367313,0.6726698391860846,0.34177215189873417,0.9578059071729957,0.7562642369020501,0.6906562272415931,0.6972953694347025,0.2505694760820046,0.6559139784946236,0.746898851146632,0.5859525984991779,0.6983595624829283,0.6208822799209673,0.7237916804322253
