section,target,contrast,metric,point,unstratified_low,unstratified_high,task_stratified_low,task_stratified_high,max_endpoint_shift,zero_inclusion_changed
Table16,T1,M0,macro-F1,0.3969849246231156,0.38461538461538464,0.4088669950738916,0.3856655290102389,0.4083934086484166,0.001050144394854291,false
Table16,T1,M1,macro-F1,0.6138018360240582,0.5700396545824191,0.653815768628776,0.5733266174971516,0.6530122192372966,0.0032869629147325163,false
Table16,T1,M2,macro-F1,0.6081113993752316,0.5673333276908363,0.6461533752327783,0.5708532636685184,0.644628057791784,0.003519935977682076,false
Table16,T1,M3,macro-F1,0.6552635054814424,0.6151121300751458,0.692371022432449,0.6166270258982751,0.6920218774574038,0.0015148958231293586,false
Table16,T1,M4,macro-F1,0.7410731468360188,0.7069152012499569,0.7734265734265734,0.70971032607509,0.7704094829906211,0.00301709043595233,false
Table16,T2,M0,macro-F1,0.38441558441558443,0.3620218579234973,0.4051649480524534,0.36964915170913354,0.3984743005855562,0.007627293785636258,false
Table16,T2,M1,macro-F1,0.6688556657817522,0.6182389522754642,0.7139289766643582,0.6206382241853134,0.7145472083948242,0.002399271909849232,false
Table16,T2,M2,macro-F1,0.6684443375168745,0.6137164971555288,0.7184171389964685,0.6266629702836554,0.7080799979516224,0.012946473128126579,false
Table16,T2,M3,macro-F1,0.7772006980802793,0.7348028421156305,0.8181704925793533,0.7336603787917506,0.8178020052723944,0.0011424633238799053,false
Table16,T2,M4,macro-F1,0.6093805184714276,0.5576276107355489,0.6555519578050226,0.5663672709980933,0.6514264584561508,0.008739660262544358,false
Table16,T3,M0,macro-F1,0.41992433795712486,0.4020317758351801,0.4369800684092732,0.40707635213772814,0.432021535695567,0.0050445763025480095,false
Table16,T3,M1,macro-F1,0.7216432461507429,0.6766636318220637,0.7652078151012346,0.6789483837186872,0.7637646332288995,0.0022847518966234714,false
Table16,T3,M2,macro-F1,0.6766824811105254,0.634563565714523,0.7159049282747976,0.6384943272437706,0.7132905362996983,0.0039307615292476505,false
Table16,T3,M3,macro-F1,0.7908046106079916,0.7465793210480522,0.8311681561282729,0.7500056741413723,0.8276816915451061,0.003486464583166815,false
Table16,T3,M4,macro-F1,0.5297358783975119,0.4767074764420252,0.5791091070732542,0.48978685672445477,0.570061773306779,0.013079380282429554,false
Table16,T4,M0,macro-F1,0.20602526724975703,0.1953523266008515,0.21691660042980362,0.19793091803274035,0.21432056753109383,0.002596032898709799,false
Table16,T4,M0,QWK,0.0,0.0,0.0,0.0,0.0,0.0,false
Table16,T4,M1,macro-F1,0.5671753725699734,0.5010005769040684,0.6241052901086332,0.5102824801338858,0.6215207703605158,0.009281903229817368,false
Table16,T4,M1,QWK,0.4869832434626311,0.39500272778212203,0.571912550465605,0.4047664734293635,0.5666212846368608,0.009763745647241473,false
Table16,T4,M2,macro-F1,0.4822290229808141,0.4272963183836899,0.5353583014650896,0.43607155561396693,0.5298205428576387,0.008775237230277011,false
Table16,T4,M2,QWK,0.37472865835331526,0.2947122735169248,0.4551320304566969,0.3017727261825815,0.4442666687529865,0.010865361703710441,false
Table16,T4,M3,macro-F1,0.6368708381188372,0.5834227136859875,0.6863902567916164,0.5912433272535572,0.681606616994813,0.00782061356756969,false
Table16,T4,M3,QWK,0.5965226840532464,0.5296412892289634,0.6591315279457404,0.5412214199260836,0.6503633550849259,0.011580130697120272,false
Table16,T4,M4,macro-F1,0.3907639478630321,0.35243304056561386,0.4294775282999108,0.3546802238471531,0.42755461090413516,0.0022471832815392223,false
Table16,T4,M4,QWK,0.4013673409820607,0.3346065280303248,0.47009607699922323,0.3420912582775461,0.46468565506954057,0.007484730247221294,false
Table17,T1,M3-M1,delta macro-F1,0.041461669457384165,-0.011231989339551196,0.09638906698886886,-0.01058372647799902,0.09421905493317068,0.002170012055698181,false
Table17,T1,M4-M3,delta macro-F1,0.08580964135457636,0.04438031773977188,0.13121670012850234,0.045393700000589364,0.12692685850704444,0.004289841621457902,false
Table17,T2,M3-M1,delta macro-F1,0.1083450322985271,0.06502038559674735,0.15445170755173393,0.061146193174138844,0.15340050761205903,0.0038741924226085023,false
Table17,T2,M4-M3,delta macro-F1,-0.16782017960885165,-0.2406826916863591,-0.0962683955409696,-0.23683159301661022,-0.09916619350085276,0.0038510986697488925,false
Table17,T3,M3-M1,delta macro-F1,0.06916136445724863,0.018212135299298347,0.12214172887394234,0.01641853455730921,0.11866018232280791,0.003481546551134432,false
Table17,T3,M4-M3,delta macro-F1,-0.26106873221047966,-0.3209983288864907,-0.2013144961917364,-0.31096809319160307,-0.2117682225557844,0.01045372636404801,false
Table17,T4,M3-M1,delta macro-F1,0.06969546554886374,0.010039913081875877,0.13699512122441224,0.011049684927090821,0.13283823185154425,0.0041568893728679834,false
Table17,T4,M4-M3,delta macro-F1,-0.24610689025580507,-0.3017681964512555,-0.1849089128942554,-0.2957387777771006,-0.18911940204825076,0.006029418674154907,false
Table18,T1,M3 B-A,delta macro-F1,0.00043328972174649927,-0.04084558969579662,0.040061210049113186,-0.04288038498436716,0.04223275191489559,0.002171541865782403,false
Table18,T1,M3 C-B,delta macro-F1,-0.0371064601125668,-0.07100087477557165,-0.0019493172727079316,-0.07081252396196787,-0.003539188947614316,0.0015898716749063843,false
Table18,T2,M3 B-A,delta macro-F1,0.038011401070919715,-0.004045897922917696,0.07869435126167655,-0.0005857688675367538,0.07443589184209676,0.004258459419579794,false
Table18,T2,M3 C-B,delta macro-F1,0.011635440989598456,-0.02100864444160015,0.04451690381484679,-0.020829906340187533,0.04459787121395722,0.00017873810141261562,false
Table18,T3,M3 B-A,delta macro-F1,0.07182048623772608,0.023706328143910032,0.1218420644175285,0.024485754504456426,0.11531001179117267,0.006532052626355825,false
Table18,T3,M3 C-B,delta macro-F1,-0.022917945160799036,-0.0607226220524843,0.018954423646886598,-0.05937066664194511,0.01555172723638533,0.0034026964105012686,false
Table18,T4,M3 B-A,delta macro-F1,0.00716540154200096,-0.030665967526768634,0.04490478373393337,-0.030517250305810352,0.04250166175200306,0.002403121981930309,false
Table18,T4,M3 C-B,delta macro-F1,-0.041193109474886636,-0.07032304078820105,-0.01097526295677437,-0.06809783104931123,-0.015081101847965576,0.0041058388911912064,false
