target,metadata,n,macro_f1,accuracy,ci_low,ci_high
T1,task_only,720,0.5201521468802575,0.5444444444444444,0.47978402922543556,0.5555643669045731
T1,generator_only,720,0.7521190968017665,0.7583333333333333,0.7178734909723387,0.7861218078686223
T1,task_plus_generator,720,0.7562185529019914,0.7611111111111111,0.7239392098491055,0.7895759900405653
T2,task_only,474,0.6961159688707638,0.6962025316455697,0.6403739654044789,0.7474395515619879
T2,generator_only,474,0.6566685412214599,0.6603375527426161,0.610101904548095,0.7030803573610134
T2,task_plus_generator,474,0.8013237712280119,0.8080168776371308,0.7582054090662814,0.838217140335923
T3,task_only,460,0.6393632614105056,0.65,0.5898523080314396,0.6880497353550463
T3,generator_only,460,0.688603720273134,0.7,0.6387428298123866,0.7366751335939395
T3,task_plus_generator,460,0.8427124925547639,0.8652173913043478,0.807659641661366,0.8760587373873803
T4,task_only,474,0.37444772649481467,0.39451476793248946,0.32844968342534414,0.41832815075714475
T4,generator_only,474,0.6583900305203841,0.6919831223628692,0.6089572129444524,0.7045232757431208
T4,task_plus_generator,474,0.7326954037428925,0.7616033755274262,0.6843410377626229,0.7762829554970988
