target,template,permutation,agreement_with_P1_identity,kappa_with_P1_identity
T1,P1,identity,1.0,1.0
T1,P1,swap,0.9555555555555556,0.9086301663216504
T1,P2,identity,0.8277777777777777,0.6303932040040736
T1,P2,swap,0.8791666666666667,0.7496643007864954
T2,P1,identity,1.0,1.0
T2,P1,swap,0.6350210970464135,0.24703873064844917
T2,P2,identity,0.8333333333333334,0.6360013220055601
T2,P2,swap,0.6729957805907173,0.3013636104296229
T3,P1,identity,1.0,1.0
T3,P1,swap,0.5978260869565217,-0.004343105320304019
T3,P2,identity,0.5173913043478261,0.15909090909090906
T3,P2,swap,0.6,0.0
T4,P1,identity,1.0,1.0
T4,P1,cycle_231,0.44936708860759494,0.2299782775125574
T4,P1,cycle_312,0.4472573839662447,0.0035464976329938613
T4,P2,identity,0.7742616033755274,0.6018620278205168
T4,P2,cycle_231,0.4219409282700422,0.1952561528738196
T4,P2,cycle_312,0.4620253164556962,0.03164556962025311
