target,template,permutation,predicted_label,n,proportion
T1,P1,identity,0,411,0.5708333333333333
T1,P1,identity,1,309,0.42916666666666664
T1,P1,swap,0,429,0.5958333333333333
T1,P1,swap,1,291,0.4041666666666667
T1,P2,identity,0,533,0.7402777777777778
T1,P2,identity,1,187,0.25972222222222224
T1,P2,swap,0,448,0.6222222222222222
T1,P2,swap,1,272,0.37777777777777777
T2,P1,identity,0,289,0.609704641350211
T2,P1,identity,1,185,0.39029535864978904
T2,P1,swap,0,270,0.569620253164557
T2,P1,swap,1,204,0.43037974683544306
T2,P2,identity,0,328,0.6919831223628692
T2,P2,identity,1,146,0.3080168776371308
T2,P2,swap,0,306,0.6455696202531646
T2,P2,swap,1,168,0.35443037974683544
T3,P1,identity,0,184,0.4
T3,P1,identity,1,276,0.6
T3,P1,swap,0,1,0.002173913043478261
T3,P1,swap,1,459,0.9978260869565218
T3,P2,identity,0,400,0.8695652173913043
T3,P2,identity,1,60,0.13043478260869565
T3,P2,swap,1,460,1.0
T4,P1,identity,1,243,0.5126582278481012
T4,P1,identity,2,20,0.04219409282700422
T4,P1,identity,3,211,0.4451476793248945
T4,P1,cycle_231,1,15,0.03164556962025317
T4,P1,cycle_231,2,191,0.4029535864978903
T4,P1,cycle_231,3,268,0.5654008438818565
T4,P1,cycle_312,1,1,0.002109704641350211
T4,P1,cycle_312,3,473,0.9978902953586498
T4,P2,identity,1,261,0.5506329113924051
T4,P2,identity,2,58,0.12236286919831224
T4,P2,identity,3,155,0.3270042194092827
T4,P2,cycle_231,1,58,0.12236286919831224
T4,P2,cycle_231,2,202,0.42616033755274263
T4,P2,cycle_231,3,214,0.45147679324894513
T4,P2,cycle_312,1,7,0.014767932489451477
T4,P2,cycle_312,2,2,0.004219409282700422
T4,P2,cycle_312,3,465,0.9810126582278481
