target,template,permutation,n,macro_f1,accuracy,ci_low,ci_high
T1,P1,identity,720,0.7410731468360188,0.7430555555555556,0.7080257539682184,0.77383563155352
T1,P1,swap,720,0.7253159041394336,0.7263888888888889,0.6913554226066959,0.7582434670486313
T1,P2,identity,720,0.5903044944933087,0.5930555555555556,0.5481594308385617,0.629243662197294
T1,P2,swap,720,0.6857012616761053,0.6861111111111111,0.6476675364423855,0.7234443746071653
T2,P1,identity,474,0.6093805184714276,0.630801687763713,0.5593144487726929,0.6576314788911202
T2,P1,swap,474,0.5352339370617727,0.5527426160337553,0.48737919480011277,0.5830694393245925
T2,P2,identity,474,0.6014363722697056,0.6413502109704642,0.5515952884771559,0.6497280160138944
T2,P2,swap,474,0.5403183991703955,0.5738396624472574,0.4921767841213664,0.5899881786660099
T3,P1,identity,460,0.5297358783975119,0.5369565217391304,0.47531636856449594,0.5804159467919319
T3,P1,swap,460,0.2197175614641025,0.2782608695652174,0.18783475728899277,0.25017620536040897
T3,P2,identity,460,0.5133908704248163,0.6847826086956522,0.4649457225062707,0.5618604666732238
T3,P2,swap,460,0.21635434412265758,0.27608695652173915,0.18468957054848847,0.24558657880656698
T4,P1,identity,474,0.3907639478630321,0.45569620253164556,0.3511457894817648,0.4285595952251803
T4,P1,cycle_231,474,0.41349052540913006,0.5738396624472574,0.3801435664488374,0.442745082411417
T4,P1,cycle_312,474,0.21627628281947922,0.44936708860759494,0.1974206349206349,0.2429374043890173
T4,P2,identity,474,0.3991708933291071,0.41561181434599154,0.3522747139936227,0.4443041745089661
T4,P2,cycle_231,474,0.3483772540322898,0.45569620253164556,0.3156627033667937,0.3797869310872634
T4,P2,cycle_312,474,0.23179352933910713,0.45147679324894513,0.20529106123654958,0.26404026718628326
