target,template,permutation,predicted_label,n,proportion
T4,P1,cycle_231,1,15,0.03164556962025317
T4,P1,cycle_231,2,191,0.4029535864978903
T4,P1,cycle_231,3,268,0.5654008438818565
T4,P1,cycle_312,1,1,0.002109704641350211
T4,P1,cycle_312,2,0,0.0
T4,P1,cycle_312,3,473,0.9978902953586498
T4,P1,identity,1,243,0.5126582278481012
T4,P1,identity,2,20,0.04219409282700422
T4,P1,identity,3,211,0.4451476793248945
T4,P1,perm_132,1,166,0.350210970464135
T4,P1,perm_132,2,0,0.0
T4,P1,perm_132,3,308,0.6497890295358649
T4,P1,perm_213,1,93,0.1962025316455696
T4,P1,perm_213,2,228,0.4810126582278481
T4,P1,perm_213,3,153,0.3227848101265823
T4,P1,perm_321,1,0,0.0
T4,P1,perm_321,2,1,0.002109704641350211
T4,P1,perm_321,3,473,0.9978902953586498
T4,P2,cycle_231,1,58,0.12236286919831224
T4,P2,cycle_231,2,202,0.42616033755274263
T4,P2,cycle_231,3,214,0.45147679324894513
T4,P2,cycle_312,1,7,0.014767932489451477
T4,P2,cycle_312,2,2,0.004219409282700422
T4,P2,cycle_312,3,465,0.9810126582278481
T4,P2,identity,1,261,0.5506329113924051
T4,P2,identity,2,58,0.12236286919831224
T4,P2,identity,3,155,0.3270042194092827
T4,P2,perm_132,1,220,0.4641350210970464
T4,P2,perm_132,2,0,0.0
T4,P2,perm_132,3,254,0.5358649789029536
T4,P2,perm_213,1,133,0.2805907172995781
T4,P2,perm_213,2,280,0.5907172995780591
T4,P2,perm_213,3,61,0.12869198312236288
T4,P2,perm_321,1,6,0.012658227848101266
T4,P2,perm_321,2,7,0.014767932489451477
T4,P2,perm_321,3,461,0.9725738396624473
